eventName,organizerType,attendees,opportunities,attendance,start,end,website,sponsorshipSite,sponsorDownload,linkedIn,attendeeList,venue,city,stateOrProvince,country,lowPriceNonMembers,highPriceNonMembers,earlyBirdDeadline,sponsorshipContactEmail,sponsorshipContactName,filesAndMedia,latestSponsorList,sponsorsAndExhibitors,peekURL,notes
Florida Bar Annual Convention,Bar Assn,"In-House, Law firms, Marketers","Attend (member), Sponsor, Exhibit",>5000 people,06/19/2024,06/22/2024,https://www.floridabar.org/news/meetings/meetings001/,,,https://www.linkedin.com/company/the-florida-bar/,,"Signia by Hilton Orlando Bonnet Creek, Orlando",Orlando,FL,USA,,,,etrombetta@floridabar.org,Beth Anne Trombetta,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=fe07e6bd161147aaac37e79d54777559&pm=s,
Wisconsin State Bar Annual Meeting & Conference,Bar Assn,"In-House, Law firms, Operators","Attend (member), Sponsor, Exhibit",500-1000 people,06/19/2024,06/21/2024,https://www.wisbar.org/aboutus/overview/Pages/Annual-Meeting-and-Conference.aspx,https://marketplace.wisbar.org/Advertise-With-Us,https://marketplace.wisbar.org/SBWMarketplace/media/Advertising/Advertising-Files/Media_Kit_Connect_Personally.pdf,https://www.linkedin.com/company/state-bar-of-wisconsin/,,"Hyatt Regency and KI Center, Green Bay",Green Bay,WI,USA,,,,service@wisbar.org,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=af15437ae45c4814a6159c2498491d64&pm=s,
Texas State Bar Annual Meeting,Bar Assn,"In-House, Law firms, Operators","Attend (member), Sponsor, Exhibit",>5000 people,06/20/2024,06/21/2024,https://www.texasbar.com/Content/NavigationMenu/Events/AnnualMeeting/Future_Dates/default.htm,,,https://www.linkedin.com/company/state-bar-of-texas/,,"Hilton Anatole, Dallas TX",Dallas,TX,USA,,,,,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=491bb058ac324be0bc3ed477ac68f78b&pm=s,
North Carolina State Bar Association Annual Meeting,Bar Assn,"In-House, Law firms, Operators","Attend (member), Sponsor, Exhibit",1000-5000 people,06/20/2024,06/21/2024,https://www.ncbar.org/annual-meeting/,https://www.ncbar.org/about/sponsorship-opportunities/,,https://www.linkedin.com/company/north-carolina-bar-association/,,TBA,,,,,,,,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=0027e6441bde4057999168cf8d5e2835&pm=s,
Legal Geek North America,Promoter,"In-House, Law firms, Operators","Attend (non-member), Sponsor",100-500 people,06/20/2024,06/20/2024,https://www.legalgeek.co/north-america/,https://www.legalgeek.co/sponsorship/,,https://www.linkedin.com/company/legalgeek/,,Recess,Chicago,IL,USA,$250.00,$300.00,01/01/2024,hello@legalgeek.co,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=febd6238c3d844bd93caa5c57fb08e73&pm=s,
National Association of College and University Attorneys,Practice Assn,"Government, In-House","Attend (member), Sponsor",1000-5000 people,06/26/2024,06/29/2024,https://www.nacua.org/program-events/nacua-annual-conference,https://www.nacua.org/program-events/sponsorship,https://www.nacua.org/docs/default-source/meetings/2023-2024-nacua-sponsorship---workshops-year-round-opportunities.pdf?sfvrsn=7fd44fbe_2,https://www.linkedin.com/company/nacua/,,Hyatt Regency Columbus OH,Columbus,OH,USA,,,,,,,https://events.nacua.org/event/9e5e7e1a-df10-4d8a-8f1b-bbee7c89735f/websitePage:fa481f70-58d7-4239-9977-b88330a9ba6b,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=1042c335d61c43ff86b3437c723a122c&pm=s,
Nevada State Bar Annual Meeting,Bar Assn,"In-House, Law firms, Operators","Attend (member), Sponsor, Exhibit",1000-5000 people,06/26/2024,06/26/2024,https://nvbar.org/about-us/board-of-governors/meeting-dates/#:~:text=June%2026%2C%202024%3A%20Annual%20Bar%20Conference%2C%20Santa%20Fe%2C%20NM,,,https://www.linkedin.com/company/state-bar-of-nevada/,,"Santa Fe, NM",Santa Fe,NM,USA,,,,cle@nvbar.org,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=36efe97d51094f10b8e1700ced491fbe&pm=s,
National Employment Lawyers Association Annual Convention,Practice Assn,"In-House, Law firms","Attend (member), Attend (non-member), Sponsor, Exhibit",1000-5000 people,06/26/2024,06/29/2024,https://www.nela.org/programs-events/convention/,,,https://www.linkedin.com/company/nela_hq/,,Philadelphia Marriott Downtown,Philadelphia,PA,USA,,,,abattle@nelahq.org,Alicia Battle,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=3d2946caf0534d2da489f2da3079f0ed&pm=s,Sponsorship details not yet available.
American Academy of Attorney CPAs Annual Meeting & Education Conference,Practice Assn,Law firms,,500-1000 people,06/26/2024,06/30/2024,https://aaacpa.memberclicks.net/,,,https://www.linkedin.com/groups/1796024/,,,Fort Worth,TX,USA,,,,,,,,,,
NALA Paralegal Conference & Expo,Practice Assn,"Paralegals, Operators","Attend (member), Attend (non-member), Sponsor, Exhibit",1000-5000 people,07/11/2024,07/13/2024,https://nala.org/2022/louisville-conference-proposals/,,https://nala.org/wp-content/uploads/2023/02/2023-NALA-Media-Kit-Rev6.pdf,https://www.linkedin.com/company/national-association-of-legal-assistants/,,Louisville Marriott Downtown,Louisville,KY,USA,,,,,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=3b12767380a64d0fb1ad469c4ece1b9e&pm=s,
American Association of Law Libraries Annual Meeting,Practice Assn,,"Attend (member), Attend (non-member), Sponsor, Exhibit",500-1000 people,07/20/2024,07/23/2024,https://www.aallnet.org/conference/,https://www.aallnet.org/conference/sponsors-exhibitors/exhibitor-list/,119L23_spex_prospectus_feb2023_final.pdf,https://www.linkedin.com/company/american-association-of-law-libraries/,,,Chicago,IL,USA,,,,exhibits@aallconference.org,Ron Mathews or Nicole Quattrock,,https://www.aallnet.org/conference/sponsors-exhibitors/exhibitor-list/,"2023 SPONSORS ALM | Law.com Altarama Information Systems Amalivre American Bar Association BankruptcyData Bloomberg Law Bloomsbury Digital Resources Blue360 Media, LLC Brill USA Inc., Koninklijke Brill NV ByWater Solutions CALI Casetext Cassidy Cataloguing Services, Inc. CEB - Continuing Education of the Bar Clarivate CourtAlert Courtroom Insight Edward Elgar Publishing Inc. Factset GALE, a Cengage Company Hein Online  ICLR Juris & Jus Mundi ktMINE Law Business Research Leopard Solutions LexisNexis - Platinum Sponsor Lexum LLMC Lucidea Mind Alliance Systems LLC Minesoft National Society for Legal Technology NELLCO Law Library Consortium Onelog Oxford University Press PacerPro, Inc. Patent and Trademark Resource Center Program PLI (Practising Law Institute) PowerNotes Reorg SCC Online S&P Global Market Intelligence Skopenow SMI Aware Softlink Information Centers StackMap State and Federal Communications, Inc. Tax Analysts (A.K.A. Tax Notes) The Lawbook Exchange Themis Bar Review Thomson Reuters TransUnion Trellis Legal Research TRG Screen (Research Monitor and Quest) Vable Visualping vLex and Fastcase West Academic Wildy & Sons Ltd.   Wolters Kluwer",/5bd8355148fd4e1a81b430238999208b?pvs=25,
National Contract Management Association World Congress,Practice Assn,"In-House, Law firms","Attend (member), Attend (non-member), Sponsor, Exhibit",1000-5000 people,07/21/2024,07/24/2024,https://www.ncmahq.org/Web/Web/Events/World-Congress.aspx,,,,,Seattle Convention Center,Seattle,WA,USA,,,,,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=53845a074f8a40e9ac37a8b79cbae5d3&pm=s,
National Apartment Association Rental Housing Advocacy and Legal Summit,Practice Assn,"Law firms, In-House","Attend (member), Attend (non-member), Sponsor",100-500 people,07/30/2024,08/01/2024,https://www.naahq.org/rhals,https://www.naahq.org/rhals,,https://www.linkedin.com/company/naahq/,https://www.naahq.org/sites/default/files/2023-07/2023 RHALS Registration List-2023-07-24 (3).xlsx,Omni Las Colinas,Irving,TX,USA,$499.00,,,sponsorship@naahq.org,,,,,,
National Court Reporters Association Conference and Expo,Trade Group,Government,"Attend (member), Attend (non-member), Sponsor, Exhibit",1000-5000 people,08/01/2024,08/03/2024,https://www.ncra.org/home/events/ncra-conference-expo,https://www.ncra.org/home/events/ncra-conference-expo/sponsors-exhibitors,https://www.ncra.org/docs/conference-prospectus,https://www.linkedin.com/company/nationalcourtreportersassociation/,,Galt House Hotel,Louisville,KY,USA,$725.00,$800.00,07/11/2023,sprue@ncra.org,Susie Prue,,https://www.ncra.org/home/events/ncra-conference-expo/sponsors-exhibitors,"2023 Sponsors for reference: Arriva Lexitas Nell McCallum Reliance Leaves Cannaboid Therapy Superior Court of California, San Diego Stenograph Magna Legal Services Planet Depos Remote Counsel The Legal Video Team Association Member Benefits Advisors Advantage Software eMP10 Calloquy College of Court Reporting Cover Crow DS Global Elizabeth Gallo EV360 First Legal Depositions GeekAByte Henderson Legal Services Horizon Legal Solutions Houston Steno Repair IST Reporting Lexitas NCRF National Court Reporters Foundation NCRA PAC SPaszkieqicz Litigation Services ProCAT my Realtime Coach Real Time Legal Video Superior Court of Imperial County TCRA Trustpoint.One U.S. Legal Support",/4202dbd1b7a2464d8fc4a168353da80a?pvs=25,Prices for networking only registration (2023 prices).
National Creditors Bar Association Connect,Practice Assn,Law firms,"Attend (member), Attend (non-member), Sponsor, Exhibit",1000-5000 people,10/22/2024,10/24/2024,https://www.creditorsbar.org/events/2024-ncba-connect,https://www.creditorsbar.org/partner-with-us,,https://www.linkedin.com/company/nationalcreditorsbarassociation/,,Sheraton New Orleans,New Orleans,LA,USA,,,,conferences@creditorsbar.org,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=f530dc25d0cd4698872ff6966f5101c4&pm=s,
American Intellectual Property Law Association Annual Meeting,Practice Assn,"In-House, Law firms","Attend (member), Attend (non-member), Sponsor, Exhibit",1000-5000 people,10/24/2024,10/26/2024,https://www.aipla.org/detail/event/2024/10/24/default-calendar/aipla-2024-annual-meeting,,https://www.aipla.org/docs/default-source/uploadedfiles/aipla2023-media-marketing-kit.pdf?sfvrsn=6103cf6c_2,https://www.linkedin.com/company/aipla/,,"Gaylord National Resort, National Harbor MD",National Harbor,MD,USA,,,,aipla@aipla.org,,,,,https://www.notion.so/eventhunter/9c233ae8a2544cb79631cc714ebe002d?v=5be9e321daa744a6801f3cab9008f0fd&p=65122b2ca67b4d6e9e2bb51e2fafb08c&pm=s,
